Hour,Date,X,Y,Z,,,,
,04/05/2025  05:10:00 a. m.,Magnetic Field in Z-Axis : 65474,,,,,,
,04/05/2025  05:20:00 a. m.,Magnetic Field in X-Axis : 65420,,,,,,
,04/05/2025  05:20:00 a. m.,Magnetic Field in Y-Axis : 65343,,,,,,
,04/05/2025  05:20:00 a. m.,Magnetic Field in Z-Axis : 65389,,,,,,
,04/05/2025  05:30:00 a. m.,Magnetic Field in X-Axis : 65424,,,,,,
,04/05/2025  05:30:00 a. m.,Magnetic Field in Y-Axis : 65348,,,,,,
,04/05/2025  05:30:00 a. m.,Magnetic Field in Z-Axis : 65378,,,,,,
,04/05/2025  05:40:00 a. m.,Magnetic Field in X-Axis : 65412,,,,,,
,04/05/2025  05:40:00 a. m.,Magnetic Field in Y-Axis : 65320,,,,,,
,04/05/2025  05:40:00 a. m.,Magnetic Field in Z-Axis : 65452,,,,,,
,04/05/2025  05:50:00 a. m.,Magnetic Field in X-Axis : 65406,,,,,,
,04/05/2025  05:50:00 a. m.,Magnetic Field in Y-Axis : 65328,,,,,,
,04/05/2025  05:50:00 a. m.,Magnetic Field in Z-Axis : 65451,,,,,,
,04/05/2025  06:00:00 a. m.,Magnetic Field in X-Axis : 65400,,,,,,
,04/05/2025  06:00:00 a. m.,Magnetic Field in Y-Axis : 65327,,,,,,
,04/05/2025  06:00:00 a. m.,Magnetic Field in Z-Axis : 65451,,,,,,
,04/05/2025  06:10:00 a. m.,Magnetic Field in X-Axis : 65430,,,,,,
,04/05/2025  06:10:00 a. m.,Magnetic Field in Y-Axis : 65330,,,,,,
,04/05/2025  06:10:00 a. m.,Magnetic Field in Z-Axis : 65478,,,,,,
,04/05/2025  06:20:00 a. m.,Magnetic Field in X-Axis : 65416,,,,,,
,04/05/2025  06:20:00 a. m.,Magnetic Field in Y-Axis : 65327,,,,,,
,04/05/2025  06:20:00 a. m.,Magnetic Field in Z-Axis : 65398,,,,,,
,04/05/2025  06:30:00 a. m.,Magnetic Field in X-Axis : 65402,,,,,,
,04/05/2025  06:30:00 a. m.,Magnetic Field in Y-Axis : 65352,,,,,,
,04/05/2025  06:30:00 a. m.,Magnetic Field in Z-Axis : 65368,,,,,,
,04/05/2025  06:40:00 a. m.,Magnetic Field in X-Axis : 65409,,,,,,
,04/05/2025  06:40:00 a. m.,Magnetic Field in Y-Axis : 65358,,,,,,
,04/05/2025  06:40:00 a. m.,Magnetic Field in Z-Axis : 65404,,,,,,
,04/05/2025  06:50:00 a. m.,Magnetic Field in X-Axis : 65427,,,,,,
,04/05/2025  06:50:00 a. m.,Magnetic Field in Y-Axis : 65326,,,,,,
,04/05/2025  06:50:00 a. m.,Magnetic Field in Z-Axis : 65436,,,,,,
,04/05/2025  07:00:00 a. m.,Magnetic Field in X-Axis : 65407,,,,,,
,04/05/2025  07:00:00 a. m.,Magnetic Field in Y-Axis : 65331,,,,,,
,04/05/2025  07:00:00 a. m.,Magnetic Field in Z-Axis : 65397,,,,,,
,04/05/2025  07:10:00 a. m.,Magnetic Field in X-Axis : 65400,,,,,,
,04/05/2025  07:10:00 a. m.,Magnetic Field in Y-Axis : 65342,,,,,,
,04/05/2025  07:10:00 a. m.,Magnetic Field in Z-Axis : 65425,,,,,,
,04/05/2025  07:20:00 a. m.,Magnetic Field in X-Axis : 65423,,,,,,
,04/05/2025  07:20:00 a. m.,Magnetic Field in Y-Axis : 65356,,,,,,
,04/05/2025  07:20:00 a. m.,Magnetic Field in Z-Axis : 65462,,,,,,
,04/05/2025  07:30:00 a. m.,Magnetic Field in X-Axis : 65411,,,,,,
,04/05/2025  07:30:00 a. m.,Magnetic Field in Y-Axis : 65359,,,,,,
